1,Andorra
2,United Arab Emirates
3,Afghanistan
4,Antigua and Barbuda
5,Anguilla
6,Albania
7,Armenia
8,Angola
9,Antarctica
10,Argentina
11,American Samoa
12,Austria
13,Australia
14,Aruba
15,Azerbaijan
16,Bosnia and Herzegovina
17,Barbados
18,Bangladesh
19,Belgium
20,Burkina Faso
21,Bulgaria
22,Bahrain
23,Burundi
24,Benin
25,Bermuda
26,Brunei Darussalam
27,Bolivia
28,Caribbean Netherlands 
29,Brazil
30,Bahamas
31,Bhutan
32,Bouvet Island
33,Botswana
34,Belarus
35,Belize
36,Canada
37,Cocos (Keeling) Islands
38,"Congo, Democratic Republic of"
39,Central African Republic
40,Congo
41,Switzerland
42,Cote d'Ivoire
43,Cook Islands
44,Chile
45,Cameroon
46,China
47,Colombia
48,Costa Rica
49,Cuba
50,Cape Verde
51,Christmas Island
52,Cyprus
53,Czech Republic
54,Germany
55,Djibouti
56,Denmark
57,Dominica
58,Dominican Republic
59,Algeria
60,Ecuador
61,England
62,Estonia
63,Egypt
64,Western Sahara
65,Eritrea
66,Spain
67,Ethiopia
68,Finland
69,Fiji
70,Falkland Islands
71,"Micronesia, Federated States of"
72,Faroe Islands
73,France
74,Gabon
75,Grenada
76,Georgia
77,French Guiana
78,Guernsey
79,Ghana
80,Gibraltar
81,Greenland
82,Gambia
83,Guinea
84,Guadeloupe
85,Equatorial Guinea
86,Greece
87,South Georgia and the South Sandwich Islands
88,Guatemala
89,Guam
90,Guinea-Bissau
91,Guyana
92,Hong Kong
93,Heard and McDonald Islands
94,Honduras
95,Croatia
96,Haiti
97,Hungary
98,Indonesia
99,Ireland
100,Israel
101,Isle of Man
102,India
103,British Indian Ocean Territory
104,Iraq
105,Iran
106,Iceland
107,Italy
108,Jersey
109,Jamaica
110,Jordan
111,Japan
112,Kenya
113,Kyrgyzstan
114,Cambodia
115,Kiribati
116,Comoros
117,Saint Kitts and Nevis
118,North Korea
119,South Korea
120,Kuwait
121,Cayman Islands
122,Kazakhstan
123,Lao People's Democratic Republic
124,Lebanon
125,Saint Lucia
126,Liechtenstein
127,Sri Lanka
128,Liberia
129,Lesotho
130,Lithuania
131,Luxembourg
132,Latvia
133,Libya
134,Morocco
135,Monaco
136,Moldova
137,Montenegro
138,Saint-Martin (France)
139,Madagascar
140,Marshall Islands
141,Macedonia
142,Mali
143,Myanmar
144,Mongolia
145,Macau
146,Northern Mariana Islands
147,Martinique
148,Mauritania
149,Montserrat
150,Malta
151,Mauritius
152,Maldives
153,Malawi
154,Mexico
155,Malaysia
156,Mozambique
157,Namibia
158,New Caledonia
159,Niger
160,Norfolk Island
161,Nigeria
162,Nicaragua
163,The Netherlands
164,Norway
165,Nepal
166,Nauru
167,Niue
168,New Zealand
169,Oman
170,Panama
171,Peru
172,French Polynesia
173,Papua New Guinea
174,Philippines
175,Pakistan
176,Poland
177,St. Pierre and Miquelon
178,Pitcairn
179,Puerto Rico
180,"Palestine, State of"
181,Portugal
182,Palau
183,Paraguay
184,Qatar
185,Romania
186,Serbia
187,Russian Federation
188,Rwanda
189,Saudi Arabia
190,Solomon Islands
191,Seychelles
192,Sudan
193,Sweden
194,Singapore
195,Saint Helena
196,Slovenia
197,Svalbard and Jan Mayen Islands
198,Slovakia
199,Sierra Leone
200,San Marino
201,Senegal
202,Somalia
203,Suriname
204,South Sudan
205,Sao Tome and Principe
206,El Salvador
207,Sint Maarten (Dutch part)
208,Syria
209,Swaziland
210,Turks and Caicos Islands
211,Chad
212,French Southern Territories
213,Togo
214,Thailand
215,Tajikistan
216,Tokelau
217,Timor-Leste
218,Turkmenistan
219,Tunisia
220,Tonga
221,Turkey
222,Trinidad and Tobago
223,Tuvalu
224,Taiwan
225,Tanzania
226,Ukraine
227,Uganda
228,United States Minor Outlying Islands
229,United States
230,Uruguay
231,Uzbekistan
232,Vatican
233,Saint Vincent and the Grenadines
234,Venezuela
235,Virgin Islands (British)
236,Virgin Islands (U.S.)
237,Vietnam
238,Vanuatu
239,Wales
240,Wallis and Futuna Islands
241,Samoa
242,Yemen
243,Mayotte
244,South Africa
245,Zambia
246,Zimbabwe
